Row;SYN-based;DATA-based;ACK-based
193.95.246.214193.189.185.97;1;0;0
64.125.29.8064.125.29.17;1;1;1
64.125.28.9964.125.30.109;1;1;1
151.6.5.145151.7.84.157;1;1;1
178.124.165.102178.168.146.57;1;1;1
195.246.243.253217.156.103.242;1;1;1
62.115.135.7062.115.112.143;1;1;1
80.239.194.16685.22.74.89;1;1;1
91.223.58.3891.223.58.25;1;1;1
184.105.65.1365.49.108.18;1;1;1
38.88.188.42206.51.207.65;1;1;1
131.227.254.233131.227.254.118;1;1;1
212.37.63.15212.37.63.60;1;1;1
37.128.137.11337.128.137.199;1;1;1
90.147.80.210217.29.66.205;1;1;1
85.92.76.22985.92.93.21;1;1;1
90.147.80.210217.29.66.209;1;1;1
149.6.151.22212.101.79.42;1;1;1
213.155.130.2362.115.61.65;1;1;1
211.118.180.1651.213.104.237;1;1;1
62.196.52.21062.196.53.162;1;1;1
212.74.65.2562.192.18.10;1;1;1
23.28.218.130149.128.8.31;1;1;1
131.103.116.146190.208.9.81;1;1;1
62.115.123.77213.155.130.101;1;1;1
77.92.159.226212.68.38.62;1;1;1
62.115.123.7762.115.141.113;1;1;1
96.34.2.9196.34.29.115;1;1;1
205.168.6.30192.43.69.15;0;1;1
62.115.121.5213.248.99.182;1;1;1
64.39.238.21216.87.40.1;1;1;1
162.151.190.2650.224.253.194;1;1;1
64.125.29.20364.125.31.169;1;1;1
80.239.135.5262.115.147.79;1;1;1
37.252.236.141188.172.236.26;1;1;1
185.205.208.166212.39.69.155;1;1;1
154.54.40.110154.54.41.46;1;1;1
213.239.252.3478.47.242.254;1;1;1
202.83.240.242202.83.240.227;1;1;1
63.235.41.102204.70.224.158;1;1;1
217.115.3.154217.115.0.175;1;0;0
87.245.233.17687.245.242.89;1;1;1
85.22.74.8985.22.145.178;1;1;1
217.29.66.11687.245.233.86;1;1;1
195.2.27.118195.59.142.11;1;1;1
217.29.66.11687.245.233.88;1;1;1
87.245.248.69193.242.168.102;1;1;1
38.114.81.4272.29.4.70;1;1;1
144.208.208.140144.208.208.138;1;1;1
184.105.223.193206.81.81.39;1;1;1
62.112.51.962.112.40.10;1;1;1
64.125.31.25064.125.31.27;1;0;1
209.112.50.90173.237.223.2;1;1;1
80.81.192.165193.27.65.70;1;1;1
217.71.110.77212.62.85.14;1;1;1
66.206.33.1266.206.33.92;1;1;1
154.54.60.250154.54.39.130;1;1;1
185.141.124.140194.190.255.170;1;1;1
130.117.14.15489.149.143.142;1;1;1
149.11.20.5089.146.199.50;1;1;1
195.2.21.185195.2.27.157;1;0;1
212.91.82.291.102.128.34;1;1;1
46.18.175.25.44.232.87;1;1;1
217.25.179.70217.25.179.37;1;1;1
210.79.13.46221.240.58.66;1;1;1
213.19.196.21480.246.207.241;1;1;1
154.54.38.246154.54.59.218;1;1;1
133.130.13.18133.130.14.142;1;1;1
62.115.137.211195.12.255.26;1;1;1
62.115.116.160213.248.77.54;1;1;1
213.207.15.605.178.112.97;1;0;1
67.217.171.7074.209.241.18;1;1;1
217.29.66.68212.74.76.167;1;1;1
62.115.38.1945.254.107.85;1;1;1
62.115.134.19562.115.50.211;1;1;1
62.149.8.6662.149.31.129;1;1;1
