Row;SYN-based;DATA-based;ACK-based
213.155.136.16762.115.122.191;1;1;1
62.115.112.12369.197.1.80;1;0;0
89.149.143.21846.33.90.198;1;1;1
93.191.173.1622.21.175.232;0;1;0
166.49.237.80166.49.208.61;1;1;1
62.115.133.22662.115.136.19;0;1;1
154.25.6.186149.6.138.126;1;1;1
154.54.6.11838.122.47.118;1;0;1
203.190.250.178180.180.249.162;1;1;1
62.115.151.47213.80.87.73;1;1;1
154.54.30.5438.142.221.106;1;1;1
154.54.44.162154.54.83.254;1;0;0
154.54.45.162154.54.30.6;1;1;1
154.25.8.102130.117.242.90;0;0;1
212.74.84.143217.111.216.110;1;0;1
188.93.159.4231.193.183.177;0;0;1
64.125.31.2764.125.192.114;1;1;1
85.195.62.37217.10.127.41;0;0;1
135.11.7.34135.11.22.4;1;1;1
80.64.101.190188.227.25.37;0;0;1
154.54.85.23038.104.84.170;0;0;1
213.248.72.3487.234.14.79;1;1;1
178.19.52.106178.19.52.107;0;1;1
217.5.118.287.128.239.210;1;1;1
154.54.7.129154.54.45.18;0;1;0
93.186.132.22593.186.132.151;1;0;0
212.33.135.77212.33.145.50;1;0;1
213.239.252.9213.239.224.150;1;1;1
90.147.80.205193.201.28.90;1;1;1
90.147.80.205193.201.28.92;1;0;0
129.250.4.11129.250.4.226;0;1;0
90.147.80.205193.201.28.99;1;0;1
90.147.80.205193.201.28.98;1;1;1
81.95.15.19477.235.191.113;1;1;1
122.102.111.5122.102.111.61;1;1;1
92.245.128.1837.1.254.59;1;1;1
166.49.208.192166.49.168.193;0;0;1
130.117.1.162149.11.122.30;0;0;1
166.49.208.192166.49.168.195;0;1;0
62.115.136.21980.239.193.38;0;1;1
212.97.221.74212.97.221.75;1;0;0
154.54.44.238.122.63.14;1;0;1
49.255.43.190103.252.152.253;0;1;1
154.54.61.38149.14.0.26;0;1;0
38.122.228.20250.60.145.243;1;1;1
203.116.7.42203.211.159.41;0;1;1
62.115.135.163213.248.99.74;0;0;1
95.59.174.8192.47.145.100;0;1;0
154.54.58.230130.117.49.74;1;0;0
213.200.118.3077.67.123.174;1;1;0
69.25.120.24266.187.228.249;0;1;0
154.54.57.69154.54.57.162;1;1;1
77.109.135.82217.26.48.95;0;0;1
184.105.81.218203.29.134.66;1;0;0
62.115.123.193213.248.66.146;0;1;0
188.93.159.4231.193.183.179;1;1;0
216.66.87.4272.52.92.86;1;0;0
80.77.0.182115.160.187.54;0;1;1
154.54.58.166154.25.10.186;1;1;1
77.109.181.91185.1.74.4;0;1;0
185.17.175.244185.17.174.46;1;1;1
62.115.115.10162.115.145.75;0;0;1
77.109.135.19877.245.26.73;1;0;0
134.222.49.57134.222.48.210;1;1;1
213.224.250.34213.224.250.112;1;1;1
12.123.30.4912.94.37.54;1;1;1
62.104.191.19462.104.196.7;0;0;1
208.42.239.165216.239.226.186;0;0;1
154.54.56.186154.54.57.213;1;1;1
66.28.4.197154.54.47.218;0;0;1
46.18.175.25.44.232.88;0;1;1
216.115.100.10216.115.105.185;0;0;1
144.232.17.40144.223.44.42;0;1;1
149.6.9.5492.60.96.3;1;1;1
62.115.133.22680.91.247.75;0;1;1
62.115.133.22680.91.249.105;1;0;0
154.54.60.182154.25.4.182;1;0;0
193.201.28.1977.242.40.33;0;1;0
62.115.114.17162.115.61.247;0;1;0
49.255.248.154103.1.77.81;1;0;0
212.74.72.13213.41.99.34;1;1;1
195.161.4.137217.106.7.130;1;0;0
154.54.56.78130.117.136.50;1;1;1
80.157.204.3881.183.3.55;1;0;0
109.159.252.70109.159.248.15;0;1;1
203.208.191.170124.19.61.1;1;1;0
203.208.191.170124.19.61.3;0;0;1
213.155.132.19580.239.195.18;0;1;1
154.54.58.141154.25.9.29;1;1;0
154.25.3.118149.11.64.66;1;1;0
159.153.92.98159.153.92.78;1;0;0
64.125.29.12664.125.27.179;1;0;0
194.116.98.70185.191.98.254;1;1;1
194.70.97.22194.70.99.42;1;1;1
154.54.58.141154.25.9.25;0;0;1
62.115.123.18962.115.123.163;1;0;0
98.136.158.19498.136.159.241;0;1;0
154.25.12.106149.14.132.98;0;1;0
80.249.208.12264.125.28.187;1;1;1
84.116.134.14184.116.132.1;1;1;1
130.117.50.133154.25.8.222;1;0;0
64.125.27.6364.125.43.66;1;0;0
185.48.244.97212.100.35.9;1;1;0
62.115.120.13062.115.154.189;1;0;0
92.79.214.16192.214.66.134;0;1;1
129.250.6.237129.250.3.121;1;1;1
109.163.237.265.254.88.201;0;0;1
69.25.168.6569.25.120.242;0;1;0
80.255.14.581.95.2.62;1;1;1
210.138.107.3458.138.88.9;1;0;0
